origin_dong,dest_sido,dest_sgg,n
구미동,경기도,용인시 수지구,79
위례동,서울특별시,송파구,71
성남동,경기도,광주시,70
위례동,경기도,하남시,60
정자1동,경기도,용인시 수지구,48
정자1동,서울특별시,강남구,47
위례동,서울특별시,강남구,47
금곡동,경기도,용인시 수지구,46
구미동,경기도,용인시 기흥구,46
정자1동,경기도,수원시 영통구,46
정자1동,경기도,용인시 기흥구,46
금광2동,경기도,광주시,44
복정동,서울특별시,송파구,44
서현1동,경기도,용인시 수지구,41
구미1동,경기도,용인시 수지구,40
상대원1동,경기도,광주시,36
서현1동,서울특별시,강남구,36
금곡동,경기도,용인시 기흥구,36
정자1동,서울특별시,송파구,35
구미1동,경기도,용인시 기흥구,35
은행2동,경기도,광주시,34
분당동,경기도,광주시,31
도촌동,경기도,광주시,31
야탑3동,경기도,광주시,31
정자동,경기도,용인시 수지구,29
서현1동,경기도,광주시,29
운중동,서울특별시,강남구,29
운중동,경기도,용인시 기흥구,29
성남동,경기도,용인시 기흥구,28
성남동,경기도,화성시,28
태평4동,경기도,광주시,28
태평1동,서울특별시,송파구,26
백현동,서울특별시,강남구,26
서현1동,경기도,용인시 기흥구,25
수진2동,경기도,광주시,25
분당동,경기도,용인시 기흥구,24
운중동,경기도,용인시 수지구,24
성남동,서울특별시,송파구,24
태평2동,경기도,광주시,23
성남동,서울특별시,강동구,23
분당동,경기도,용인시 수지구,22
야탑1동,경기도,광주시,22
운중동,경기도,화성시,22
수내1동,경기도,용인시 수지구,22
야탑3동,경기도,용인시 수지구,22
판교동,서울특별시,강남구,22
은행1동,경기도,광주시,22
삼평동,경기도,용인시 수지구,21
이매1동,경기도,용인시 수지구,21
복정동,서울특별시,관악구,21
수내1동,서울특별시,강남구,21
하대원동,경기도,광주시,20
위례동,경기도,광주시,20
서현1동,서울특별시,송파구,20
정자동,경기도,용인시 기흥구,20
신흥3동,경기도,광주시,20
정자동,서울특별시,강남구,20
판교동,경기도,용인시 수지구,20
단대동,경기도,광주시,19
상대원3동,경기도,광주시,19
신흥2동,서울특별시,송파구,19
운중동,서울특별시,관악구,19
금광2동,서울특별시,송파구,19
삼평동,경기도,광주시,19
분당동,경기도,화성시,18
복정동,경기도,광주시,18
복정동,서울특별시,강남구,18
구미동,경기도,수원시 영통구,18
금곡동,서울특별시,송파구,18
도촌동,경기도,화성시,18
야탑3동,서울특별시,관악구,18
백현동,경기도,용인시 수지구,17
백현동,서울특별시,송파구,17
이매1동,서울특별시,강남구,17
은행2동,서울특별시,송파구,17
정자2동,경기도,용인시 수지구,17
백현동,경기도,수원시 영통구,17
위례동,경기도,화성시,17
금광1동,경기도,광주시,17
구미동,경기도,광주시,17
태평1동,경기도,광주시,17
금곡동,서울특별시,강남구,17
단대동,서울특별시,송파구,17
태평1동,서울특별시,관악구,16
구미1동,서울특별시,송파구,16
중앙동,경기도,광주시,16
신흥2동,서울특별시,강남구,16
서현2동,경기도,용인시 수지구,16
백현동,경기도,광주시,16
신흥2동,경기도,광주시,16
수내3동,경기도,용인시 수지구,16
태평2동,서울특별시,송파구,16
야탑3동,경기도,수원시 영통구,16
수내1동,서울특별시,서초구,15
야탑3동,경기도,용인시 기흥구,15
금곡동,경기도,화성시,15
복정동,경기도,용인시 기흥구,15
정자동,경기도,광주시,15
야탑2동,서울특별시,강남구,15
구미동,경기도,용인시 처인구,15
분당동,서울특별시,송파구,15
태평1동,경기도,용인시 기흥구,14
판교동,서울특별시,서초구,14
야탑2동,경기도,광주시,14
구미1동,경기도,광주시,14
정자동,서울특별시,관악구,13
도촌동,경기도,용인시 기흥구,13
수내1동,경기도,용인시 기흥구,13
하대원동,서울특별시,송파구,13
태평3동,서울특별시,송파구,13
수진1동,경기도,광주시,13
이매1동,경기도,용인시 기흥구,13
야탑1동,경기도,용인시 기흥구,13
삼평동,서울특별시,강남구,13
태평1동,서울특별시,강남구,13
삼평동,경기도,용인시 기흥구,13
야탑1동,서울특별시,강남구,12
야탑2동,경기도,용인시 수지구,12
이매1동,경기도,광주시,12
상대원1동,경기도,용인시 기흥구,12
정자3동,경기도,용인시 수지구,12
야탑1동,서울특별시,서초구,12
고등동,경기도,용인시 기흥구,12
구미1동,서울특별시,서초구,12
삼평동,경기도,수원시 영통구,12
고등동,경기도,용인시 수지구,12
신흥1동,경기도,광주시,12
고등동,경기도,광주시,12
수내1동,서울특별시,관악구,11
도촌동,경기도,용인시 처인구,11
금광2동,경기도,남양주시,11
도촌동,서울특별시,강남구,11
서현2동,경기도,광주시,11
상대원1동,경기도,화성시,11
야탑1동,서울특별시,송파구,11
상대원1동,서울특별시,송파구,11
신흥3동,서울특별시,송파구,10
하대원동,경기도,화성시,10
고등동,서울특별시,강남구,10
이매1동,서울특별시,송파구,10
수진2동,서울특별시,강동구,10
수진2동,서울특별시,강남구,10
태평2동,서울특별시,관악구,10
은행1동,서울특별시,송파구,10
수내3동,서울특별시,관악구,10
정자3동,서울특별시,마포구,10
정자3동,서울특별시,강남구,10
은행2동,경기도,화성시,10
금광2동,서울특별시,강남구,10
정자2동,경기도,수원시 영통구,10
태평2동,경기도,용인시 수지구,10
정자2동,경기도,용인시 기흥구,10
서현2동,경기도,화성시,10
서현2동,경기도,용인시 기흥구,10
신촌동,서울특별시,송파구,9
양지동,경기도,광주시,9
수내3동,경기도,용인시 기흥구,9
이매2동,경기도,용인시 수지구,9
은행2동,경기도,남양주시,9
단대동,경기도,남양주시,9
수진2동,경기도,용인시 기흥구,9
단대동,경기도,용인시 기흥구,9
